Id|País|1970|1971|1972|1973|1974|1975|1976|1977|1978|1979|1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|TIPO
1|Afeganistão|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|11|VINHOS DE MESA
2|África do Sul|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|463|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|26|4|0|VINHOS DE MESA
3|Alemanha, República Democrática|0|0|4168|12000|0|0|0|0|0|5400|0|0|0|0|0|67|1037|2700|2205|197|0|3780|2700|0|0|20700|0|43|504|0|9900|1673|1080|0|13589|57393|38302|119512|265742|225086|27715|36070|8189|61699|213348|10680|14012|15467|10794|3660|6261|2698|VINHOS DE MESA
4|Angola|0|0|0|0|0|0|0|0|0|3465756|1682244|0|0|0|0|339|774|1316|18500|168|930|125|292|189|0|24|2118|68494|15780|10998|249717|12150|9812|19937|37573|24056|3766|25931|25721|54786|33557|13889|2833|1573|12182|1908|7359|10170|477|345|0|0|VINHOS DE MESA
5|Anguilla|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|130|324|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|VINHOS DE MESA
6|Antígua e Barbuda|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|37|219|624|805|VINHOS DE MESA
7|Antilhas Holandesas|280|4800|3000|0|0|1800|0|0|0|4500|11773|0|0|0|0|0|0|0|0|540|1080|1080|1782|3434|0|2288|2287|0|0|0|0|0|0|0|0|4259|19116|17025|17938|8235|9810|7335|9247|11281|4455|6660|16641|5400|0|0|0|0|VINHOS DE MESA
8|Argentina|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|360|0|6300|0|1125|322990|691422|0|2100|40|211|0|0|1477|0|0|0|0|0|0|0|162|0|13253|0|0|20385|0|0|0|15711|0|1015|6|VINHOS DE MESA
9|Aruba|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|900|0|0|450|0|0|0|0|0|0|0|VINHOS DE MESA
10|Austrália|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|755|0|0|0|0|0|0|0|0|0|0|0|60|218726|1014|1823|3632|9345|16707|6308|7437|1954|1350|2055|1161|1013|705|VINHOS DE MESA
11|Áustria|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|388|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|675|0|0|0|0|0|VINHOS DE MESA
12|Bahamas|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|120|0|0|0|0|0|0|0|3175|4529|1374|581|0|0|0|0|141|791|1212|1083|VINHOS DE MESA
13|Bangladesh|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|2|VINHOS DE MESA
14|Barbados|0|0|840|10905|7682|6336|8419|8796|10023|3129|17660|15314|534|3162|4206|1143|0|0|1546|0|0|0|0|0|0|0|135|243|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|36|143|216|VINHOS DE MESA
15|Barein|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|482|8|302|VINHOS DE MESA
16|Bélgica|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4500|0|0|0|0|0|0|0|0|1263|0|0|6750|56571|1077|3523|125962|42532|11802|16132|22461|151320|4473|7200|2790|7497|2498|3166|483|VINHOS DE MESA
17|Belice|0|0|450|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9|0|0|VINHOS DE MESA
18|Benin|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10350|0|10350|0|0|0|0|0|0|0|5040|0|0|9|0|0|VINHOS DE MESA
19|Bolívia|2512|9100|34692|61944|9795|12971|64509|3710|972|10052|13811|24038|10370|5882|5665|50618|64960|67710|26496|26382|303|6878|15802|9089|42204|0|21867|2074|3261|191912|265988|109434|7545|0|18536|8306|5822|4985|3979|40463|54|12775|11868|19147|12534|10674|13586|9495|21566|0|9900|5850|VINHOS DE MESA
20|Bósnia-Herzegovina|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|45|0|VINHOS DE MESA
21|Brasil|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|31|VINHOS DE MESA
22|Bulgária|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|117|0|0|0|0|VINHOS DE MESA
23|Cabo Verde|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|117|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|11991|600|0|0|0|0|0|0|18|0|0|16|VINHOS DE MESA
24|Camarões|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1749|0|0|0|0|VINHOS DE MESA
25|Canadá|0|0|0|0|19404|3564|7920|1188|0|0|444217|128710|0|0|0|0|0|0|2000|756|2925|0|1503|752|2864|23291|15143|4475|4480|0|4480|0|0|0|675|117|450|4172|20949|15664|0|28906|14304|25329|35082|24547|13711|6075|5308|1589|1672|1172|VINHOS DE MESA
26|Catar|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|13338|0|0|0|1|VINHOS DE MESA
27|Cayman, Ilhas|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|19|19|123|104|VINHOS DE MESA
28|Chile|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|900|0|0|0|160|0|0|0|0|0|0|0|0|31|0|0|0|1988|60930|0|1475|0|0|8550|0|0|0|0|0|11049|0|11|26|VINHOS DE MESA
