ano|pais_origem|pais_destino|tipo|quantidade|valor
1970|Brasil|Africa do Sul|Vinhos de mesa|0|0.0
1970|Brasil|Alemanha|Vinhos de mesa|52297|30498.0
1970|Brasil|Argélia|Vinhos de mesa|0|0.0
1970|Brasil|Arábia Saudita|Vinhos de mesa|0|0.0
1970|Brasil|Argentina|Vinhos de mesa|19525|12260.0
1970|Brasil|Austrália|Vinhos de mesa|0|0.0
1970|Brasil|Áustria|Vinhos de mesa|1328|707.0
1970|Brasil|Bermudas|Vinhos de mesa|0|
1970|Brasil|Bélgica|Vinhos de mesa|0|0.0
1970|Brasil|Bolívia|Vinhos de mesa|0|0.0
1970|Brasil|Bósnia-Herzegovina|Vinhos de mesa|0|0.0
1970|Brasil|Brasil|Vinhos de mesa|0|0.0
1970|Brasil|Bulgária|Vinhos de mesa|0|0.0
1970|Brasil|Canada|Vinhos de mesa|0|0.0
1970|Brasil|Chile|Vinhos de mesa|162370|101819.0
1970|Brasil|China|Vinhos de mesa|0|0.0
1970|Brasil|Coreia do Sul, República|Vinhos de mesa|0|0.0
1970|Brasil|Croácia|Vinhos de mesa|0|0.0
1970|Brasil|Emirados Árabes Unidos|Vinhos de mesa|0|0.0
1970|Brasil|Eslovênia|Vinhos de mesa|0|0.0
1970|Brasil|Eslováquia|Vinhos de mesa|0|0.0
1970|Brasil|Espanha|Vinhos de mesa|261126|90159.0
1970|Brasil|Estados Unidos|Vinhos de mesa|0|0.0
1970|Brasil|França|Vinhos de mesa|91544|78135.0
1970|Brasil|Geórgia|Vinhos de mesa|0|0.0
1970|Brasil|Geórgia do Sul e Sandwich do Sul, Ilhas|Vinhos de mesa|0|0.0
1970|Brasil|Grécia|Vinhos de mesa|0|0.0
1970|Brasil|Hong Kong|Vinhos de mesa|0|0.0
1970|Brasil|Hungria|Vinhos de mesa|0|0.0
1970|Brasil|Indonesia|Vinhos de mesa|0|0.0
1970|Brasil|Irlanda|Vinhos de mesa|0|0.0
1970|Brasil|Israel|Vinhos de mesa|0|0.0
1970|Brasil|Itália|Vinhos de mesa|58802|32376.0
1970|Brasil|Japão|Vinhos de mesa|0|0.0
1970|Brasil|Iugoslavia|Vinhos de mesa|702|326.0
1970|Brasil|Líbano|Vinhos de mesa|0|0.0
