index|VINHO|1970|1971|1972|1973|1974|1975|1976|1977|1978|1979|1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|TIPO
1|Tinto|174224052|121133369|118180926|88589019|146544484|144274134|118360170|154801826|162917363|154736439|101659755|134156175|183349460|87080528|119615028|216732390|118766694|97841160|173747942|136931173|154359897|90320836|118638894|125172218|161479717|167174017|115896909|116458841|102127865|168149414|208242670|175267437|215892333|155513687|254172425|180698666|149552555|228156220|241057928|164143454|157290088|210113358|175875432|163111797|157776363|169811472|75279191|1365957|188270142|121045115|103916391|146075996|VINHO DE MESA
2|Branco|748400|1160500|1812367|243900|4138768|1441507|1871473|4954387|5079748|7146395|5363452|12547739|15782499|12191896|19502230|23010666|16872183|27497857|32660045|24603265|33512030|25046588|25446255|31986075|28291853|15472732|24073622|41842945|32140249|42528150|44902276|44322836|35329657|40861639|51719967|39212146|31738390|42118552|42942053|39211278|35408083|46007504|34938249|32066403|37438069|39557250|10727099|217527985|29229970|22032828|19568734|26432799|VINHO DE MESA
3|Rosado|42236152|31970782|26960004|27877426|43192093|31685568|24333795|35603565|32056558|49370148|23284978|39425814|35622605|20989120|38563073|35595899|22072645|25128167|38383071|20267523|22676272|11400830|19163270|14596702|12301693|32141555|12947240|24514261|16546829|15843212|19880630|9342185|8367750|6170398|8069892|6169620|3809942|5013136|3506830|2063474|2569809|1719887|1963356|1726022|958691|939838|312725|36121245|875524|1551794|715289|1391200|VINHO DE MESA
5|Tinto|7591557|7265666|6782837|3419625|10047658|14731106|12405154|16131758|15000671|14356453|9296741|16036963|19987588|14340514|15777602|19347979|12282967|10920073|18690518|16140751|17750504|12001895|13449911|12119485|15646861|11924291|12819866|12590647|8716140|14640657|18545613|13587683|13619033|15357576|23062182|25409805|18868108|24786071|27583032|18209043|11401406|24104740|24027589|23156458|17208996|16745896|8774847|21442212|19118254|17389377|15451883|20433249|VINHO FINO DE MESA (VINÍFERA)
6|Branco|15562889|15655709|13289304|7930070|18927471|21933695|19874659|20409231|17640081|25727132|19326572|27528276|34423412|24164361|30395959|44679484|34794145|35432544|56441847|54983093|52080420|33307472|38856367|40415898|42419680|34209738|31893892|33792167|24384090|30674840|36955126|20393594|17911689|14058481|19803647|20012363|13249969|17598428|18812571|21366975|13013027|22739426|20647238|21906349|20054804|19561966|8705066|21928400|18297257|18193055|15487915|20867999|VINHO FINO DE MESA (VINÍFERA)
7|Rosado|744900|664687|1006630|1018715|2668995|2759789|2220777|4723982|4110181|6046125|3117350|5782808|3042581|2111937|2115718|3007930|1482068|948649|1428400|1648300|3858200|209800|306500|518842|667200|992200|611300|605600|798400|515000|709000|178000|124504|135400|36779|31730|50900|791985|938898|324550|391280|754305|525903|719723|1200514|841120|590713|1167258|1291709|2032990|1576888|2173750|VINHO FINO DE MESA (VINÍFERA)
9|Suco de uva integral|1097771|2296654|3509440|0|0|0|0|0|0|0|0|0|0|0|0|3544706|2116507|2262240|2018000|2824600|2848560|3609000|4033698|3800800|3884000|4123776|2407900|2884969|3904186|4132303|3546779|5196430|5505889|1372381|6222380|7103175|13946491|10147037|11817941|16034003|26887259|39487800|31908829|33673396|43331223|52233155|31117869|46865626|34367996|50239767|40718523|68038479|SUCO
10|Suco de uva concentrado|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3086961|2197261|3206776|5568870|4098583|7574692|7715462|6763926|8230953|9459721|8770183|6782000|10524045|10000000|11400000|14176000|12790752|14722802|11048364|17855732|19513244|17414605|19280709|23014646|23006457|23238685|29564324|37624855|31206394|33392314|35661313|11092520|30059271|31099910|26861009|27963865|32131218|SUCO
11|Suco de uva adoçado|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1344177|0|709098|815407|674638|0|312200|533048|0|0|0|0|177774|0|120320|107289|40450|SUCO
12|Suco de uva orgânico|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|471610|722117|SUCO
13|Suco de uva reconstituído|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|59300|0|584256|0|0|SUCO
15|Espumante|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|76000|0|0|0|11000|0|0|0|0|0|0|6900|71410|0|0|0|3999|1920|26600|0|88690|0|10125|26361|17200|30275|2700|23750|1500|11280|68500|52176|32399|70091|DERIVADOS
16|Espumante moscatel|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|276099|0|147600|204000|514480|320514|589332|1113462|1190500|703393|219100|139775|159781|100000|110100|100000|152375|326200|515800|689139|11950|DERIVADOS
