Id;País;1970;1970;1971;1971;1972;1972;1973;1973;1974;1974;1975;1975;1976;1976;1977;1977;1978;1978;1979;1979;1980;1980;1981;1981;1982;1982;1983;1983;1984;1984;1985;1985;1986;1986;1987;1987;1988;1988;1989;1989;1990;1990;1991;1991;1992;1992;1993;1993;1994;1994;1995;1995;1996;1996;1997;1997;1998;1998;1999;1999;2000;2000;2001;2001;2002;2002;2003;2003;2004;2004;2005;2005;2006;2006;2007;2007;2008;2008;2009;2009;2010;2010;2011;2011;2012;2012;2013;2013;2014;2014;2015;2015;2016;2016;2017;2017;2018;2018;2019;2019;2020;2020;2021;2021
1;África do Sul;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18550;25970;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3739;6324;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;Alemanha, República Democrática da;0;0;0;0;9962;6514;238418;160979;0;0;86;68;0;0;200000;136000;100000;81000;100265;108718;72875;92915;352920;436952;83200;91520;149990;176238;300052;277596;150000;137250;0;0;150000;148500;0;0;150000;199500;0;0;0;0;36400;48230;90480;124040;127320;199639;182000;322140;0;0;0;0;227370;414144;454740;843369;367290;666020;507210;824479;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;5;38480;23268;6;6;0;0;0;0;96;91;12;24;86;44;13;4
3;Angola;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;756;920;0;0;0;0;0;0;0;0;0;0;1574;2822;10278;11423;7208;7022;10642;17254;7080;24011;0;0;600;1214;360;1229;18;61;0;0;0;0;0;0;36;78;1199;3854;288;959;156;164;29;79;0;0;4497;3488;15534;9495;194838;130487;7362;4593;43395;23740;63263;61246;237494;191270;6413;8108;0;0;0;0;5001;21599;1200;2880;1378;1739;5961;10771;160;1185;1895;1553;0;0;17766;21627;6073;5915
4;Antígua e Barbuda;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;53;95;99;36;25;120;168
5;Antilhas Holandesas;0;0;0;0;1125;945;144;135;0;0;0;0;0;0;0;0;0;0;3000;739;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;420;641;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98;274;6648;3364;0;0;0;0;474;720;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;Arábia Saudita;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44160;53226;74200;96564;83740;95416;154760;159490;16165;19155;43460;51647;13250;16993;15900;19080;37100;55110;37100;48363;80030;107203;92050;125056;132460;224379;137800;233848;57240;100749;43460;80704;56180;105046;55120;103799;92750;178701;37100;71480;67310;128638;104410;198211;42930;80362;73140;138906;292560;637078;48760;123802;48760;124520;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;Argélia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;33;0;0;0;0;0;0
8;Argentina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;252;249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45715;32633;128120;91611;136679;172457;232220;334420;0;0;256;230;0;0;0;0;9626;7272;6410;5143;0;0;1192;859;1589;1136;6514;4694;0;0;1920;8708;1815;8797;1260;6979;840;5315;14235;131312;2505;34018;0;0;250;775;800;5992;1270;9414;780;5843;795;3458;3504;3327;5140;8209;7325;12515
9;Aruba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12538;9784;264;529;0;0;3955;2714;0;0;0;0;0;0;5008;3270;1878;1143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;450;788;0;0
10;Austrália;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1060;1060;0;0;17680;20332;0;0;16960;20064;33920;47190;0;0;0;0;0;0;0;0;0;0;18550;21889;55650;83646;63600;101760;18550;35245;18550;36173;18550;38955;0;0;0;0;0;0;1232;1074;1609;1652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;271;636;799;1887;800;3047;580;2193;480;1664;1638;3939;43971;67168
11;Áustria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;640;368;1280;339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Bahamas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18550;18550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;13;168;169;34;41;542;662
13;Barbados;0;0;0;0;0;0;0;0;0;0;180;105;360;226;0;0;180;117;10242;4910;3150;2317;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1714;767;0;0;0;0;1703;1983;2806;2314;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;192
14;Bélgica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4930;5001;0;0;1000;1350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;54;24;19;117;196;0;0
15;Benin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;600;455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;438;321;0;0;0;0;0;0;0;0;0;0;0;0
16;Bermudas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;27;0;0
17;Birmânia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;Bolívia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2060;2562;0;0;539;910;3375;8958;4468;11723;3003;8238;3414;7448;9867;21856;7755;14917;11797;26003;612;1207;0;0;21435;26745;15700;19860
19;Cabo Verde;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;122;201;16;23;445;738;0;0;1376;1824;0;0;63;51;0;0;0;0;0;0;0;0;0;0;0;0;5000;4222;1955;1846;1499;897;0;0;12938;8771;290;295;0;0;480;312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;330;180;330;126;236;270;224;0;0
20;Camarões;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1159;2441;0;0;0;0;20;29;0;0
21;Canadá;0;0;1250;625;0;0;0;0;1350;1184;0;0;153886;138116;35100;27999;112030;160677;283007;377261;198100;224310;296240;338882;403645;474868;439091;462668;0;0;273502;220397;751254;651121;707550;836282;235640;275183;500910;598013;529470;888729;0;0;474350;523826;684760;851454;713280;830360;422450;499155;463750;532989;686350;838464;648190;1156647;352450;737084;482300;949149;631750;1013269;476400;708115;140980;216536;148400;188450;175884;221308;315759;435228;129850;246016;0;0;0;0;0;0;0;0;0;0;0;0;76;115;0;0;0;0;2355;5377;9486;11200;0;0;14943;19320;4476;5709
22;Catar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;47;0;0
23;Chile;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19000;23050;21065;29601;1080;802;2050;1281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84000;102900;0;0;0;0;0;0;0;0;0;0;9659;17692;0;0;789;4539;0;0;0;0;1448;2208;1788;2344;0;0;5320;6612;16845;19418
24;China;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4825;6276;45000;59550;46800;64578;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1146;1619;47;128;18588;47255;0;0;6029;20101;1196;1473;16815;32594;23937;47152;6;7;240845;413169;667684;1182122
25;Chipre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;161;226;138;196;252;315;224;232
26;Cingapura;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19200;11041;0;0;9640;12578;10203;10598;4032;4233;6216;7392;22165;28491;1060;1802;9530;15476;12710;22664;5144;8830;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6300;10510;908;1354;676;674;0;0;0;0
27;Colômbia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2915;5035;13250;29813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;475;214;583;490;0;0;0;0;0;0;0;0;0;0;12000;44520;13005;46435;4000;13530;6650;18296;5700;18531;0;0;0;0;0;0;1;2;11082;14051
28;Congo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2088;2400;180;180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1500;900;1440;936;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;Coreia do Sul;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87450;146392;787050;1521805;69960;133274;0;0;0;0;0;0;0;0;0;0;0;0;334800;451980;234360;315462;301320;403796;87450;245834;0;0;0;0;0;0;0;0;18550;52478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;Costa do Marfim;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;276;0;0;125;154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31;Costa Rica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3026;12611;0;0;0;0;0;0;2160;1440
32;Coveite;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;249365;320432;0;0;110240;114167;50085;53090;99905;94909;99905;109895;0;0;99905;119886;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;655;2022;0;0;0;0;0;0;0;0;0;0;0;0;10038;14424
33;Cuba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34;Curaçao;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;810;1872;948;1755;0;0;1727;2012;1050;1641
35;Dinamarca;0;0;0;0;0;0;0;0;0;0;0;0;2160;1642;0;0;0;0;265;318;0;0;0;0;0;0;0;0;0;0;61480;50412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;67;0;0;0;0;0;0;74200;184388;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;229;84;118;90;143;206;294
