Id;País;1970;1970;1971;1971;1972;1972;1973;1973;1974;1974;1975;1975;1976;1976;1977;1977;1978;1978;1979;1979;1980;1980;1981;1981;1982;1982;1983;1983;1984;1984;1985;1985;1986;1986;1987;1987;1988;1988;1989;1989;1990;1990;1991;1991;1992;1992;1993;1993;1994;1994;1995;1995;1996;1996;1997;1997;1998;1998;1999;1999;2000;2000;2001;2001;2002;2002;2003;2003;2004;2004;2005;2005;2006;2006;2007;2007;2008;2008;2009;2009;2010;2010;2011;2011;2012;2012;2013;2013;2014;2014;2015;2015;2016;2016;2017;2017;2018;2018;2019;2019;2020;2020;2021;2021
1;Africa do Sul;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15300;32130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;30;44;152;0;0
2;Alemanha, República Democrática;0;0;135;103;0;0;0;0;3840;3293;0;0;0;0;360;306;11700;11905;21500;26640;26075;35275;137426;229312;129799;198667;95060;90326;204983;180556;115448;104782;214355;197056;65222;59457;423894;405290;253816;228433;153036;137699;81080;71703;48885;48176;272018;289402;568342;669977;209330;280984;89400;118560;49088;79921;14400;21120;173400;224610;778979;820969;966420;993515;908683;821039;1121634;1196652;838673;994204;889813;1081566;818198;1224605;2256707;5191457;1297991;2693071;759594;1475757;713942;1437429;1167243;2430345;1021075;2064845;2457655;5316776;1649514;3524291;3277187;6532957;2384112;5161080;3353831;6730502;2870420;5833592;1863097;3480290;1371694;2791556;1461590;2569452
3;Angola;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;445;4523;6555;72;481;6081;20822;2426;7288;0;0;0;0;0;0;1604;4532;0;0;20;55;0;0;0;0;0;0;80;97;408;908;4032;4841;1079;1342;1803;2052;82055;127430;76618;125958;0;0;0;0;33860;90396;29700;110058;0;0;0;0;350;2492;0;0;0;0;0;0;0;0;0;0;15;33;75;145;0;0;0;0
4;Antígua e Barbuda;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;164;190;580;304;1013;437;1349
5;Arabia Saudita;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47328;103666;0;0;0;0;15300;30600;0;0;0;0;0;0;61200;140760;0;0;0;0;14725;28615;167731;271231;32325;95999;2818;14671
6;Argélia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20672;30968;0;0;0;0;0;0
7;Argentina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3000;4110;60900;127380;7200;14700;80000;70000;0;0;19375;20750;41510;38105;22125;19376;20540;15215;14400;17616;0;0;0;0;238141;287608;1900019;2017478;3058548;3259119;1771639;1783045;802225;1083287;1252412;1602234;1278452;1466783;1872997;2130519;3908790;3806969;3927331;3532410;3774183;3006947;388148;254432;640118;541652;571894;563466;299444;428773;336434;492057;475525;844050;724192;1474257;414008;929225;446280;1005124;264816;471205;170851;298692;32640;73440;0;0;0;0;1156368;2340897;2872152;5757072;1536650;2478547;1186878;1758528;2002784;3707550;4606314;7764448
8;Áustria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;90;1160;1649;2635;2143;2195;2251;400;360;1600;1440;608;550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;928;1020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;Bahamas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25630;52046;2869;9184;3208;9449;3482;10184
