Id;País;1970;1970;1971;1971;1972;1972;1973;1973;1974;1974;1975;1975;1976;1976;1977;1977;1978;1978;1979;1979;1980;1980;1981;1981;1982;1982;1983;1983;1984;1984;1985;1985;1986;1986;1987;1987;1988;1988;1989;1989;1990;1990;1991;1991;1992;1992;1993;1993;1994;1994;1995;1995;1996;1996;1997;1997;1998;1998;1999;1999;2000;2000;2001;2001;2002;2002;2003;2003;2004;2004;2005;2005;2006;2006;2007;2007;2008;2008;2009;2009;2010;2010;2011;2011;2012;2012;2013;2013;2014;2014;2015;2015;2016;2016;2017;2017;2018;2018;2019;2019;2020;2020;2021;2021
1;Africa do Sul;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42661;99201;32194;106317;157239;305701;303489;665101;407413;775421;358870;1164032;386425;1320244;315380;1151699;493093;1931449;966276;3600658;507509;2136394;722327;3041449;475331;1985184;722715;3033932;743335;2996543;578829;1686226;1138732;3241298;1127053;3574371;1092042;3604038;627150;1701072;859169;2508140
2;Alemanha;52297;30498;34606;26027;134438;92103;111523;98638;219173;202502;134354;149931;168134;171308;160926;201840;437831;668631;433478;691404;457033;704307;707194;853830;996948;1126928;850055;908380;586645;564129;1069717;1122438;2357113;3008737;1307519;1863924;2029271;2757417;2885143;4074739;3342223;5875679;3096425;4545305;2515557;3644055;5721360;7155615;11047710;16068528;11919346;19758144;8680860;10629243;4867017;5108215;3014081;4834030;2576557;4539354;1164724;1668539;909077;1169872;759712;829695;573198;629664;420075;550750;253685;382599;314749;634870;234006;647626;293935;1063825;56075;291876;192661;784674;198025;933545;113243;591167;114866;414070;115804;483316;95171;358275;158386;606333;83289;315959;142971;516975;101055;412794;136992;504168;106541;546967
3;Argélia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;0;0;0
4;Arábia Saudita;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;563;3249;0;0;0;0;2510;8761
5;Argentina;19525;12260;24942;15022;104906;58137;116887;76121;215930;167473;145823;90855;348653;277507;408399;395615;614134;709813;646978;888941;298471;479464;131738;209173;191972;264487;132634;188625;42438;64603;114570;164424;170413;242678;98854;136841;414931;590758;716062;1153585;455774;721398;852441;1493649;444896;815668;359542;795068;446315;730091;1397904;1992083;779008;1438076;1013306;2089559;1295190;3073775;2475780;5284871;2724941;6556544;2585537;6196286;3867336;6894469;5720024;9653634;10202602;17142493;10845213;21623751;11939727;25822840;15621172;36160548;14417761;37382581;13902750;38521731;16965266;52126581;16673491;58806736;14613839;55633562;12732815;49524694;13437321;53815956;12465041;48043201;14098009;45214862;15461740;51770842;15221318;52817642;16548931;54527380;22610267;66322932;26869241;79527959
6;Austrália;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130097;446892;179310;636740;148916;446693;126441;344316;192539;561291;324162;901226;254407;1059677;363611;1583361;215135;1248671;270908;998680;405271;1864846;824440;2811273;615334;2474783;553190;1703815;236742;1008851;395030;1261810;498515;1537834;354641;1246545;3518;21664;16292;1214643;212595;792051;366875;1383093
7;Áustria;1328;707;0;0;353;520;2310;2081;5301;7394;8835;5560;0;0;0;0;600;386;4250;3756;2385;5878;0;0;0;0;8400;7581;0;0;11830;5016;1740;3508;2520;7650;1800;7045;0;0;0;0;6180;21658;0;0;3580;5128;910;5612;1080;6205;0;0;4404;10594;8926;59378;83930;661104;0;0;770;0;0;0;0;0;1170;24677;1688;17321;1351;8359;1688;35247;11388;73348;1895;12073;2329;30075;6357;56227;8098;85116;56849;227204;2770;32116;360;3891;1485;7551;2655;24629;513995;1567866;348289;128379;6540;52348;13427;141822
8;Bermudas;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;141
9;Bélgica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20700;30575;882;1391;0;0;0;0;0;0;13791;95375;9363;40899;5550;23433;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1090;4376;45221;163;1201;7;30;0;0;0;0
