id;control;cultivar;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
1;TINTAS;TINTAS;56976;43390;4428;8939;125563;183731;88512;113591;107994;160889;68763;55774;27910;8154;5970;17553;7352;12670;58681;441541;157262;104326;94021;0;3852587;80197;1389173;374934;21638;480;13877;23660;23239;7366;49698;49820;36105;66970;101101;84397;31771;89305;145132;75362;65850;108797;51310;85510;62567;nd;63474;21732
2;ti_ Alphonse Lavallee; Alphonse Lavallee;31878;2333;170;7690;124762;74293;23684;24430;17339;88822;23451;12094;7662;2989;4380;17553;5147;12670;0;0;0;0;0;0;0;0;0;0;0;0;0;3613;0;0;0;1500;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0
3;ti_ Moscato de Hamburgo; Moscato de Hamburgo;25098;41057;4258;1249;801;109438;64828;89161;90655;72067;45312;43680;20248;5165;1590;0;2205;0;0;0;0;0;0;0;0;0;0;0;0;0;13877;20047;23239;7366;49698;48320;36105;66970;101101;84397;31771;89305;145132;75362;65850;108797;51310;85510;62567;nd;63474;21732
4;BRANCAS;BRANCAS;3900;16335;6829;8052;278951;587745;153445;230332;244151;148002;74744;51316;53160;19074;14225;21346;32966;70127;0;0;0;0;0;0;0;0;0;0;0;0;602113;118013;100923;136658;73187;39470;17889;36619;55297;14440;11575;19458;62564;4412;30600;64540;3260;5900;730;nd;45610;52760
5;br_Cardinal; Cardinal;0;0;0;0;0;0;0;0;0;0;2235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1620;0;0;4610;0;0;0;0;0;0;0;0;0;0;nd;0;0
6;br_Golden Queen; Golden Queen;167;8654;657;7312;8467;6805;0;2391;8715;2051;2765;0;0;0;1545;4921;3358;1321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0
7;br_Patrícia; Patrícia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20515;23661;42357;75480;6172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0
8;br_Perlona; Perlona;0;0;4027;0;1695;1223;1406;0;0;11377;10722;14467;13971;4948;10735;10548;10753;64694;0;0;0;0;0;0;0;0;0;0;0;0;581598;94352;58566;61178;33155;32105;14569;25899;37376;11335;10375;5575;9695;3378;850;3280;290;180;730;nd;0;1710
9;br_Italia; Italia;3733;7681;2145;740;268789;579717;152039;227941;235436;134574;59022;36849;39189;14126;1945;5877;18855;4112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33860;1630;3320;5130;2300;0;0;0;0;0;0;0;0;0;0;nd;0;0
10;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4115;0;5590;11011;3105;1200;13883;52869;1034;29750;61260;2970;5720;0;nd;45610;51050
