País|Continente|Código do país
Afeganistão|Ásia|AFG
África do Sul|África|ZAF
Albânia|Europa|ALB
Alemanha|Europa|DEU
Andorra|Europa|AND
Angola|África|AGO
Anguilla|Américas|AIA
Antártida|Antártida|ATA
Antígua e Barbuda|Américas|ATG
Arábia Saudita|Ásia|SAU
Argélia|África|DZA
Argentina|Américas|ARG
Armênia|Ásia|ARM
Aruba|Américas|ABW
Austrália|Oceania|AUS
Áustria|Europa|AUT
Azerbaijão|Ásia|AZE
Bahamas|Américas|BHS
Bahrein|Ásia|BHR
Bangladesh|Ásia|BGD
Barbados|Américas|BRB
Belarus|Europa|BLR
Bélgica|Europa|BEL
Belize|Américas|BLZ
Benin|África|BEN
Bermudas|Américas|BMU
Bolívia|Américas|BOL
Bósnia e Herzegovina|Europa|BIH
Botsuana|África|BWA
Brasil|Américas|BRA
Brunei|Ásia|BRN
Bulgária|Europa|BGR
Burkina Faso|África|BFA
Burundi|África|BDI
Butão|Ásia|BTN
Cabo Verde|África|CPV
Camboja|Ásia|KHM
Camarões|África|CMR
Canadá|Américas|CAN
Catar|Ásia|QAT
Cazaquistão|Ásia|KAZ
Chade|África|TCD
Chile|Américas|CHL
China|Ásia|CHN
Chipre|Europa|CYP
Colômbia|Américas|COL
Comores|África|COM
Congo|África|COG
Coreia do Norte|Ásia|PRK
Coreia do Sul|Ásia|KOR
Costa do Marfim|África|CIV
Costa Rica|Américas|CRI
Croácia|Europa|HRV
Cuba|Américas|CUB
Curaçao|Américas|CUW
Dinamarca|Europa|DNK
Djibuti|África|DJI
Dominica|Américas|DMA
Egito|África|EGY
El Salvador|Américas|SLV
Emirados Árabes Unidos|Ásia|ARE
Equador|Américas|ECU
Eritreia|África|ERI
Eslováquia|Europa|SVK
Eslovênia|Europa|SVN
Espanha|Europa|ESP
Estados Unidos|Américas|USA
Estônia|Europa|EST
Eswatini|África|SWZ
Etiópia|África|ETH
Fiji|Oceania|FJI
Filipinas|Ásia|PHL
Finlândia|Europa|FIN
França|Europa|FRA
Gabão|África|GAB
Gâmbia|África|GMB
Gana|África|GHA
Geórgia|Ásia|GEO
Geórgia do Sul e Ilhas Sandwich do Sul|Américas|SGS
Gibraltar|Europa|GIB
Granada|Américas|GRD
Grécia|Europa|GRC
Groenlândia|Américas|GRL
Guadalupe|Américas|GLP
Guam|Oceania|GUM
Guatemala|Américas|GTM
Guernsey|Europa|GGY
Guiana|Américas|GUY
Guiana Francesa|Américas|GUF
Guiné|África|GIN
Guiné Equatorial|África|GNQ
Guiné-Bissau|África|GNB
Haiti|Américas|HTI
Holanda|Europa|NLD
Honduras|Américas|HND
Hong Kong|Ásia|HKG
Hungria|Europa|HUN
Iêmen|Ásia|YEM
Ilha Bouvet|Antártida|BVT
Ilha Christmas|Oceania|CXR
Ilha de Ascensão|África|ASC
Ilha de Clipperton|Américas|CPT
Ilha de Man|Europa|IMN
Ilha Norfolk|Oceania|NFK
Ilhas Aland|Europa|ALA
Ilhas Cayman|Américas|CYM
Ilhas Cocos (Keeling)|Oceania|CCK
Ilhas Cook|Oceania|COK
Ilhas Faroé|Europa|FRO
Ilhas Falkland (Malvinas)|Américas|FLK
Ilhas Heard e McDonald|Oceania|HMD
Ilhas Marianas do Norte|Oceania|MNP
Ilhas Marshall|Oceania|MHL
Ilhas Menores Distantes dos Estados Unidos|Oceania|UMI
Ilhas Salomão|Oceania|SLB
Ilhas Turcas e Caicos|Américas|TCA
Ilhas Virgens Britânicas|Américas|VGB
Ilhas Virgens dos Estados Unidos|Américas|VIR
Índia|Ásia|IND
Indonésia|Ásia|IDN
Irã|Ásia|IRN
Iraque|Ásia|IRQ
Irlanda|Europa|IRL
Islândia|Europa|ISL
Israel|Ásia|ISR
Itália|Europa|ITA
Jamaica|Américas|JAM
Japão|Ásia|JPN
Jersey|Europa|JEY
Jordânia|Ásia|JOR
Kosovo|Europa|XKX
Kuwait|Ásia|KWT
Laos|Ásia|LAO
Lesoto|África|LSO
Letônia|Europa|LVA
Líbano|Ásia|LBN
Libéria|África|LBR
Líbia|África|LBY
Liechtenstein|Europa|LIE
Lituânia|Europa|LTU
Luxemburgo|Europa|LUX
Macau|Ásia|MAC
Macedônia do Norte|Europa|MKD
Madagascar|África|MDG
Malásia|Ásia|MYS
Malawi|África|MWI
Maldivas|Ásia|MDV
Mali|África|MLI
Malta|Europa|MLT
Marrocos|África|MAR
Martinica|Américas|MTQ
Maurício|África|MUS
Mauritânia|África|MRT
Mayotte|África|MYT
México|Américas|MEX
Micronésia|Oceania|FSM
Moçambique|África|MOZ
Moldávia|Europa|MDA
Mônaco|Europa|MCO
Mongólia|Ásia|MNG
Montenegro|Europa|MNE
Montserrat|Américas|MSR
Myanmar|Ásia|MMR
Namíbia|África|NAM
Nauru|Oceania|NRU
Nepal|Ásia|NPL
Nicarágua|Américas|NIC
Níger|África|NER
Nigéria|África|NGA
Niue|Oceania|NIU
Noruega|Europa|NOR
Nova Caledônia|Oceania|NCL
Nova Zelândia|Oceania|NZL
Omã|Ásia|OMN
Palau|Oceania|PLW
Palestina|Ásia|PSE
Panamá|Américas|PAN
Papua-Nova Guiné|Oceania|PNG
Paquistão|Ásia|PAK
Paraguai|Américas|PRY
Peru|Américas|PER
Polinésia Francesa|Oceania|PYF
Polônia|Europa|POL
Porto Rico|Américas|PRI
Portugal|Europa|PRT
Quênia|África|KEN
Quirguistão|Ásia|KGZ
Reino Unido|Europa|GBR
República Centro-Africana|África|CAF
República Democrática do Congo|África|COD
República Dominicana|Américas|DOM
República Tcheca|Europa|CZE
Reunião|África|REU
Romênia|Europa|ROU
Ruanda|África|RWA
Rússia|Europa|RUS
