index|VINHO|1970|1971|1972|1973|1974|1975|1976|1977|1978|1979|1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|TIPO
1|Alicante Bouschet|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3226|6807|6677|16210|8203|46923|46983|0|0|54266|6525|66194|65322|67471|64396|102174|160318|160966|216461|320853|626500|1076865|1078887|1775837|1588326|1652912|849263|2130579|2098824|1524728|1456305|1519576|908841|2040198|2103844|nd|2272985|811140|TINTAS
2|Ancelota|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|26088|47013|64318|218623|604797|861431|872741|1532209|1709883|1370728|853718|1346552|1274677|1137943|937844|773526|179028|733907|492106|nd|481402|6513974|TINTAS
3|Aramon|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|37384|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|nd|0|0|TINTAS
4|Alfrocheiro|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|13986|19473|43396|20509|25310|31168|0|4320|0|0|0|0|0|0|0|nd|0|0|TINTAS
5|Arinarnoa|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7394|11480|24878|12686|39607|35790|49376|81026|65001|56666|61817|17691|69757|44775|nd|90860|2785609|TINTAS
6|Aspirant Bouschet|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2258|7448|3650|7091|8859|12901|18086|12830|nd|34513|15691137|TINTAS
7|Barbera|4548313|3971627|4035482|3152247|8334170|9017873|7406493|9426011|7621931|8756427|6230235|9078325|11552200|7521496|5947760|7290172|3553090|2845387|4447914|3414379|2587150|1449146|1703396|999104|978852|559435|594591|342488|183269|149019|397479|142690|107641|87309|104139|92672|57116|68946|92279|70932|26044|76397|47549|40630|19514|19980|14738|24218|21863|nd|12349|437640|TINTAS
8|Bonarda|1631610|1868929|1875069|885582|1888558|2564146|2280229|2963398|2237040|2396836|1120992|2516029|2210953|1502343|1164038|1754291|877037|658716|639841|657726|586098|236195|400909|237867|282711|139404|146851|51131|33225|88710|67152|47406|22983|18445|24322|21021|3843|6207|7640|2320|0|250|1114|0|0|0|0|0|0|nd|0|3110|TINTAS
9|Cabernet Franc|238837|324924|572871|1360672|2909343|4262538|4813859|6615376|5575835|6800089|5152023|8414657|8730177|7437092|7286708|10342293|6403968|6616589|9129403|7962486|7568645|4935095|5462304|4447660|4788430|4284749|4341461|3420121|2588929|2910807|4419829|2989553|2856507|3022334|3855570|3869854|3285083|4081725|4008067|3365865|2125997|2741150|2594675|2452229|1894496|1981004|820996|2116893|1524191|nd|1506219|16626545|TINTAS
10|Cabernet Sauvignon|0|0|0|0|0|0|0|0|0|0|0|0|0|7700|46979|149527|539711|827942|1980401|2750321|2951138|3028297|3867213|4918761|5219793|4169965|3993137|4936654|3564802|4490054|4591561|3833890|4752282|6043710|10980458|12821241|12063009|14489153|16646632|13229864|6617553|13039126|11355820|10651084|8556337|7426634|3877852|7242258|6004627|nd|5889427|1857999|TINTAS
