Id;País;1970;1970;1971;1971;1972;1972;1973;1973;1974;1974;1975;1975;1976;1976;1977;1977;1978;1978;1979;1979;1980;1980;1981;1981;1982;1982;1983;1983;1984;1984;1985;1985;1986;1986;1987;1987;1988;1988;1989;1989;1990;1990;1991;1991;1992;1992;1993;1993;1994;1994;1995;1995;1996;1996;1997;1997;1998;1998;1999;1999;2000;2000;2001;2001;2002;2002;2003;2003;2004;2004;2005;2005;2006;2006;2007;2007;2008;2008;2009;2009;2010;2010;2011;2011;2012;2012;2013;2013;2014;2014;2015;2015;2016;2016;2017;2017;2018;2018;2019;2019;2020;2020;2021;2021
1;Argélia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21746;34476;0;0
2;Argentina;2412831;782408;1805310;684328;1965010;779841;396840;253061;1179250;591328;527100;313210;1219700;651150;1974174;1065046;1998590;1256166;490090;419189;276000;253558;241000;270013;1004840;767208;1394060;864456;251900;146965;208150;125910;267240;189890;773500;587095;2861962;2115752;5466862;4014451;6901560;4832246;4050739;3127738;1836310;1550210;972100;900700;1477530;1323381;4102859;3689808;4952178;4456961;3570021;3385638;2400369;2322697;1616655;1432080;740793;755810;1228557;1004140;4140804;2003875;3475542;1771221;3344442;2027559;3357125;2211505;5891839;4708157;8236176;7307566;8941022;10223013;7453027;8062155;11559264;15926306;13438557;19759895;8714800;13595978;5810559;10558621;2758211;4852008;3569873;5636226;3931377;5771032;2097970;3302565;1616855;2499358;3211513;4659791;1798220;2559671;1356735;1696659
3;Brasil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14612;37412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;Chile;1557316;409704;1485897;381705;1680664;578569;2472710;958295;2154407;958383;2276355;1261496;3120369;1806900;2802160;1635475;3320968;2178091;3032695;2400561;1334991;1237355;1423377;1374551;1999116;1798239;1217488;922064;880497;695522;598037;424806;1757520;1237918;1812678;1467787;2507118;1776746;6876507;5594118;7022798;6150550;7895955;7033148;2757676;2484872;3187970;3053050;5195415;4483546;17084555;13501738;51322639;24792241;17258803;20073972;23168025;25395308;6754643;6792509;8938298;8058967;6098723;4931007;6816565;5088679;4110431;3287533;2704764;1994691;4926533;4251604;5835551;5940649;7122019;7288258;3479598;4246892;10846054;12828213;11806542;17019296;18620819;27472449;22385291;36393910;24392313;43466944;25952434;47301298;24254096;36956724;18424582;30767570;18510455;29248621;16103415;25237521;9082957;13450429;4943446;6986630;3888723;5404163
5;Colômbia;0;0;3312;2168;0;0;63645;37098;131888;85894;300449;229579;292849;252441;476525;383198;208954;183724;250150;229134;65176;83747;45880;59605;99070;123176;53450;59690;4500;5400;0;0;0;0;0;0;0;0;0;0;110770;104715;39800;38190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;Espanha;1231522;404105;1371457;433924;617898;209416;447401;199420;440559;210385;116765;55435;0;0;0;0;0;0;70000;40600;0;0;0;0;0;0;0;0;60000;24000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17000;17000;66600;75177;74760;105616;103344;126562;81774;80414;32664;35942;0;0;7682;11128;102471;123893;315141;451525;111689;185310;30350;75904;124345;253794;212463;325707;993310;1894982;393387;679189;246827;505467;401281;716423;145066;257656;431567;628571;243947;403978;83212;164529;51079;109171;0;0;0;0
7;Estados Unidos;94669;39610;12403;5760;17250;8980;119095;79765;59064;40145;49955;33535;19778;19416;29160;23701;15370;17394;35014;27840;167893;165275;19523;18945;5060;7590;9240;14910;6490;10060;5400;9045;10800;18630;19400;29840;28800;49680;43781;74756;646956;1027570;136642;199080;134098;126758;333284;378605;1570874;1597414;2395752;2559002;2439010;2690109;2159867;2339671;829630;914080;104374;92592;119829;123847;47841;64445;13416;24833;26458;24403;14655;17500;1224;4134;43696;114408;79849;180303;91055;247523;120861;283233;89492;241211;3265;16288;32458;85451;80518;205104;50811;166753;16504;65265;3522;21093;2164;17056;15100;40981;1343;10481;0;0;0;0
8;Grécia;126248;25488;74700;14940;58500;13009;90000;35000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90000;32000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;Itália;0;0;9960;1195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15750;27733;0;0;0;0;14439;40411;190141;438972;552911;1045123;1154322;2161324;1073920;2303222;1228338;2274045;1053083;1856161;589675;1002856;788663;1442078;334544;610245;591991;1020673;0;0;0;0
