Id;País;1970;1970;1971;1971;1972;1972;1973;1973;1974;1974;1975;1975;1976;1976;1977;1977;1978;1978;1979;1979;1980;1980;1981;1981;1982;1982;1983;1983;1984;1984;1985;1985;1986;1986;1987;1987;1988;1988;1989;1989;1990;1990;1991;1991;1992;1992;1993;1993;1994;1994;1995;1995;1996;1996;1997;1997;1998;1998;1999;1999;2000;2000;2001;2001;2002;2002;2003;2003;2004;2004;2005;2005;2006;2006;2007;2007;2008;2008;2009;2009;2010;2010;2011;2011;2012;2012;2013;2013;2014;2014;2015;2015;2016;2016;2017;2017;2018;2018;2019;2019;2020;2020;2021;2021
1;Afeganistão;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18000;28050;400000;669059;0;0;18000;32600;456000;789790;125000;179545;0;0;0;0;0;0;40000;65452;0;0;0;484
2;África do Sul;0;0;0;0;0;0;0;0;0;0;72000;54360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15253;29681;178585;341606;66912;123771;35617;54452;152070;190827;88885;103632;59000;96513;0;0;17940;23195;19000;27050;99500;215677;641051;1032307;195000;563360;700846;2037012;184250;596923;986750;3527083;0;0;2220275;3507617;1418063;3278109;617500;1487082;370500;942442;1089700;3106052;270875;763921;616688;1433381;327000;531327
3;Alemanha, República Democrática;0;0;0;0;3000;3366;0;0;0;0;29988;2283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;12;22;29;31;95005;107123;143;101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;Arábia Saudita;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18000;16900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;Argentina;1530058;845068;1206326;936632;1047482;981648;1277380;1848195;1004987;1154210;1583972;1142114;2731566;2573741;2549687;2663929;2385266;2683017;1527094;3998797;1586137;3707049;1558200;1937074;1875664;1739134;2238826;1476166;1662475;1626556;1519220;1420332;2116776;2515764;3011500;2988697;7894789;7741832;6392930;6765394;3758190;3641098;4726726;4931971;3061443;4023359;1772727;3079487;4433113;5435003;4172453;4708913;7103048;8416185;5673231;8436301;4237403;6256924;3438508;4855950;3367629;3886025;2634368;2444780;10502997;7213368;6449180;5741921;12287672;14106821;10271403;12379126;11555010;14810371;15203133;19187668;15641645;26994373;17209323;24106889;17279688;34499504;20533473;43262321;19728826;43648893;20571302;47105230;14681136;34049473;20905602;32341307;23280908;34643821;19742996;34422405;23564519;43501396;24135143;48810789;24992502;36743996;24015825;33337604
6;Austrália;0;0;0;0;89025;52819;0;0;88754;88567;66750;59852;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;Bélgica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102625;55359;20750;17563;187450;141872;41500;30416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;Chile;4000;1040;0;0;0;0;59747;66242;0;0;555818;714754;582102;643686;670742;1052119;756026;1278523;1088002;2567693;484040;1100566;327662;647273;961997;1572341;1258680;1527431;1100570;1051746;1730970;1608648;2792410;2668045;2810680;2854162;2747990;2277103;5592520;5272318;3431648;3543179;5372062;5582460;3149429;3817499;4604409;5788115;6568978;7727671;32331682;9055566;6036433;8191108;3882680;6518525;4033736;6056881;3853245;5815682;4909468;5801413;3223998;3319107;1108017;1020342;6011522;5283111;933010;1200730;534750;735554;3847300;4531374;1239130;1415636;2075850;3697242;4498510;6469816;814720;1660791;1127280;2614062;2046530;5049441;453310;1123963;2615382;5771763;747700;1522661;365670;613554;483305;971604;127231;290772;384437;1096176;286774;567197;225630;462855
9;China;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;172000;178472;110;76
