id;control;cultivar;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
1;TINTAS;TINTAS;284285642;193695427;187251954;161593877;295404693;282003228;222289729;272772106;295012354;301385687;196759139;290765867;341083460;170165573;261019229;385216611;225069529;218625428;359389651;254480942;314756312;217625877;263373326;258584904;298954232;313953430;231499856;276583456;242607184;327487348;397963584;324932786;369274630;286752289;447942704;359381282;310671646;430628346;466504230;391196306;409514092;532937101;527332818;460738996;471555903;537592720;235356261;600605876;519506589;nd;376136313;394224543
2;ti_Bacarina;Bacarina;82899;106962;67464;58690;138158;101454;57297;0;0;29525;37404;37893;0;46640;46767;55878;26538;40547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18100;15505;17570;21520;11545;12070;16780;10810;7850;12930;3820;2990;3900;0;0;0;0;nd;0;0
3;ti_Bailey;Bailey;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;425674;12421;7917;35614;66503;94805;236139;235828;559815;604895;769140;912286;756000;991449;963159;442784;1370092;539742;nd;534981;4092669
4;ti_Bordo;Bordo;7242197;7227090;6530686;5584243;13341412;16023998;12725233;18714617;22247163;20061699;16495642;20525530;26385123;14872674;22146292;36787283;23956474;22318163;34047360;32102192;32681255;28036345;32595535;31680138;35680856;36409536;31280138;32904803;34014727;40736069;52382471;42098781;54989827;39213494;70888283;64174362;54568468;76907674;97644667;69521354;89066377;139754250;127378006;102788361;113008320;137467196;60976531;160146475;158405972;nd;129978861;117655879
5;ti_Bourdin (S);Bourdin (S);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78952;0;0;0;7270;0;0;0;0;0;0;0;0;0;0;0;26990;0;0;0;0;0;0;0;0;nd;0;0
6;ti_BRSCarmen;BRS Carmen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2296;48450;278602;605728;1553111;2891792;2964574;6771269;7472984;nd;11540681;13771662
7;ti_BRSCora;BRS Cora;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4370;59160;335038;1178530;2844280;3098082;3697942;4721454;5733518;5155752;10085982;8691122;nd;7326286;6442555
8;ti_BRS Magna;BRS Magna;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;600;28560;275616;1605458;2292084;nd;3989275;2094359
9;ti_BRS Margot;BRS Margot;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3679;15052;14835;42600;44328;nd;20771;86932
10;ti_BRSMorena;BRS Morena;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12114;0;0;2600;6500;0;0;0;0;nd;0;0
